Reaction Info,,,,,,,,,,,,,,,,,,
,Glycine+,Glycine,Glycine-,,,,,,,,,,,,,,,
n(org),1,1,1,,,,,,,,,,,,,,,
"n(H2,aq)",3,3,3,,,,,,,,,,,,,,,
n(C),2,2,2,,,,,,,,,,,,,,,
n(NH4+),1,1,1,,,,,,,,,,,,,,,
n(H+),0,1,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Temperature,200,C,logK,0.3817,-1.0138,-9.3821,,,,,,,,,,,
,Shallow rocks,,,,,pka1,2.5831,pka2,7.1758,,,,,,,,,
,pH,"H2,aq","CO2,aq",NH4+,Glycine+,"Affinity/n(H2,aq)",Glycine,"Affinity/n(H2,aq)",Glycine-,"Affinity/n(H2,aq)",Affinity (tot),,,,,,,
High C,5.9978,-5.7976,-0.4992,-3.55789,15.94909,-47.01076879,9.95129,-33.1126355,3.95349,-40.2711269,-33.56305461,,,,,,,
Low C,5.9978,-5.7976,-0.4992,-4.37309,16.76429,-49.47252884,10.76649,-35.57439555,4.76869,-42.73288695,-36.02481465,,,,,,,
,,,,,,,,,,,,,,,,,,
,Deep rocks,,,,,pka1,2.5831,pka2,7.1758,,,,,,,,,
,pH,"H2,aq","CO2,aq",,Glycine+,"Affinity/n(H2,aq)",Glycine,"Affinity/n(H2,aq)",Glycine-,"Affinity/n(H2,aq)",Affinity (tot),,,,,,,
High C,8.5058,-2.2617,-3.0881,-5.83712,12.79842,-37.49630176,4.29262,-16.02445135,-4.21318,-15.60922563,-15.62778054,,,,,,,
Low C,8.5058,-2.2617,-3.0881,-6.65232,13.61362,-39.95806181,5.10782,-18.4862114,-3.39798,-18.07098568,-18.08954059,,,,,,,
,,,,,,,,,,,,,,,,,,
Shallow Rock,Activity (pH = 8.5) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,199.0602,11.71933,685.30442,196.9764,21.90995,640.403837,189.2754,32.10057,574.9551911,3.0312,6.6537,575.8744963,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,199.0602,11.71933,685.30442,196.9764,21.90995,640.403837,189.2754,32.10057,574.9551911,3.0312,6.6537,575.8744963,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,199.0602,11.71933,685.30442,196.9764,21.90995,640.403837,189.2754,32.10057,574.9551911,3.0312,6.6537,575.8744963,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,199.0602,11.71933,685.30442,196.9764,21.90995,640.403837,189.2754,32.10057,574.9551911,3.0312,6.6537,575.8744963,,10.1906
299.999,-10.19062,-0.70003,-3.32235,-8.97455,199.0604,11.71934,685.3039194,196.9767,21.90996,640.4037805,189.2757,32.10058,574.9552488,3.0312,6.6537,575.8745524,,10.1906
299.997,-10.19061,-0.70003,-3.32238,-8.97453,199.061,11.71938,685.3035765,196.9773,21.90999,640.4036309,189.2763,32.1006,574.9553642,3.0312,6.6537,575.8746641,,10.1906
299.991,-10.19059,-0.70003,-3.32246,-8.97446,199.0628,11.71947,685.3026576,196.9791,21.91006,640.4032552,189.2781,32.10065,574.9557467,3.0312,6.6538,575.8752447,,10.1906
299.973,-10.19053,-0.70002,-3.32271,-8.97424,199.0681,11.71972,685.2996074,196.9846,21.91025,640.4025662,189.2836,32.10078,574.9573326,3.0311,6.6538,575.8767986,,10.1905
299.913,-10.19033,-0.70001,-3.3235,-8.97355,199.0858,11.72058,685.2894561,197.0029,21.91091,640.4000411,189.3017,32.10124,574.961659,3.0307,6.654,575.8814463,,10.1903
299.725,-10.18971,-0.69996,-3.32601,-8.97137,199.1413,11.72327,685.2577284,197.0603,21.91298,640.3922538,189.3584,32.10269,574.975047,3.0295,6.6544,575.895372,,10.1897
299.133,-10.18777,-0.6998,-3.33394,-8.96448,199.3163,11.73176,685.1577763,197.2412,21.91953,640.3673008,189.5371,32.1073,575.0167455,3.0259,6.656,575.9394782,,10.1878
297.277,-10.18194,-0.69931,-3.35904,-8.94296,199.8672,11.75897,684.8422953,197.8106,21.94091,640.2856598,190.0995,32.12285,575.1427866,3.0146,6.6609,576.0728743,,10.1819
291.57,-10.16626,-0.69784,-3.43847,-8.87722,201.5846,11.84768,683.8608137,199.5818,22.01394,640.0003817,191.8479,32.1802,575.4835867,2.981,6.6773,576.4396597,,10.1663
