Reaction Info,,,,,,,,,,,,,,,,,,
,Glycine+,Glycine,Glycine-,,,,,,,,,,,,,,,
n(org),1,1,1,,,,,,,,,,,,,,,
"n(H2,aq)",3,3,3,,,,,,,,,,,,,,,
n(C),2,2,2,,,,,,,,,,,,,,,
n(NH4+),1,1,1,,,,,,,,,,,,,,,
n(H+),0,1,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Temperature,200,C,logK,0.3817,-1.0138,-9.3821,,,,,,,,,,,
,Shallow rocks,,,,,pka1,2.5831,pka2,7.1758,,,,,,,,,
,pH,"H2,aq","CO2,aq",NH4+,Glycine+,"Affinity/n(H2,aq)",Glycine,"Affinity/n(H2,aq)",Glycine-,"Affinity/n(H2,aq)",Affinity (tot),,,,,,,
High C,5.9978,-5.7976,-0.4992,-3.55789,15.94909,-47.01076879,9.95129,-33.1126355,3.95349,-40.2711269,-33.56305461,,,,,,,
Low C,5.9978,-5.7976,-0.4992,-4.37309,16.76429,-49.47252884,10.76649,-35.57439555,4.76869,-42.73288695,-36.02481465,,,,,,,
,,,,,,,,,,,,,,,,,,
,Deep rocks,,,,,pka1,2.5831,pka2,7.1758,,,,,,,,,
,pH,"H2,aq","CO2,aq",,Glycine+,"Affinity/n(H2,aq)",Glycine,"Affinity/n(H2,aq)",Glycine-,"Affinity/n(H2,aq)",Affinity (tot),,,,,,,
High C,8.5058,-2.2617,-3.0881,-5.83712,12.79842,-37.49630176,4.29262,-16.02445135,-4.21318,-15.60922563,-15.62778054,,,,,,,
Low C,8.5058,-2.2617,-3.0881,-6.65232,13.61362,-39.95806181,5.10782,-18.4862114,-3.39798,-18.07098568,-18.08954059,,,,,,,
,,,,,,,,,,,,,,,,,,
Shallow Rock,Activity (pH = 8.5) High C and High H,,,,Glycine+,,,Glycine,,,Glycine-,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
300,-10.19062,-0.70003,-3.32234,-8.97456,199.0602,11.71933,685.30442,196.9764,1.52871,714.959666,189.2754,-8.66191,724.066849,3.0312,6.6537,723.9389265,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,199.0602,11.71933,685.30442,196.9764,1.52871,714.959666,189.2754,-8.66191,724.066849,3.0312,6.6537,723.9389265,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,199.0602,11.71933,685.30442,196.9764,1.52871,714.959666,189.2754,-8.66191,724.066849,3.0312,6.6537,723.9389265,,10.1906
300,-10.19062,-0.70003,-3.32234,-8.97456,199.0602,11.71933,685.30442,196.9764,1.52871,714.959666,189.2754,-8.66191,724.066849,3.0312,6.6537,723.9389265,,10.1906
299.999,-10.19062,-0.70003,-3.32235,-8.97455,199.0604,11.71934,685.3039194,196.9767,1.52872,714.9594794,189.2757,-8.6619,724.0666465,3.0312,6.6537,723.9387242,,10.1906
299.997,-10.19061,-0.70003,-3.32238,-8.97453,199.061,11.71938,685.3035765,196.9773,1.52877,714.9589965,189.2763,-8.66184,724.0660952,3.0312,6.6537,723.9381739,,10.1906
299.991,-10.19059,-0.70003,-3.32246,-8.97446,199.0628,11.71947,685.3026576,196.9791,1.52888,714.9576939,189.2781,-8.66171,724.0646242,3.0312,6.6538,723.9366762,,10.1906
299.973,-10.19053,-0.70002,-3.32271,-8.97424,199.0681,11.71972,685.2996074,196.9846,1.52919,714.9542245,189.2836,-8.66134,724.0606493,3.0311,6.6538,723.9327084,,10.1905
299.913,-10.19033,-0.70001,-3.3235,-8.97355,199.0858,11.72058,685.2894561,197.0029,1.53025,714.9424316,189.3017,-8.66008,724.0464401,3.0307,6.654,723.9184751,,10.1903
299.725,-10.18971,-0.69996,-3.32601,-8.97137,199.1413,11.72327,685.2577284,197.0603,1.53356,714.9056561,189.3584,-8.65615,724.0018515,3.0295,6.6544,723.8738801,,10.1897
299.133,-10.18777,-0.6998,-3.33394,-8.96448,199.3163,11.73176,685.1577763,197.2412,1.54399,714.7895303,189.5371,-8.64378,723.8612044,3.0259,6.656,723.7331136,,10.1878
297.277,-10.18194,-0.69931,-3.35904,-8.94296,199.8672,11.75897,684.8422953,197.8106,1.57703,714.4240764,190.0995,-8.60491,723.4196198,3.0146,6.6609,723.2911834,,10.1819
291.57,-10.16626,-0.69784,-3.43847,-8.87722,201.5846,11.84768,683.8608137,199.5818,1.68142,713.2840298,191.8479,-8.48484,722.0508828,2.981,6.6773,721.920966,,10.1663
