Reaction Info,,,,,,,,,,,,,,,,,,,,,,
,His 2+,His+,His,His-,,,,,,,,,,,,,,,,,,
n(org),1,1,1,1,,,,,,,,,,,,,,,,,,
"n(H2,aq)",10,10,10,10,,,,,,,,,,,,,,,,,,
n(C),6,6,6,6,,,,,,,,,,,,,,,,,,
n(NH4+),3,3,3,3,,,,,,,,,,,,,,,,,,
n(H+),1,2,3,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Temperature,200,C,logK,49.408,47.0486,6.8631,31.6099,,,,,,,,,,,,,,
,Shallow rocks,,,,,pka1,2.360,pka2,7.5523,pka3,7.886,,,,,,,,,,,
,pH,"H2,aq","CO2,aq",NH4+,His 2+,"Affinity/n(H2,aq)",His+,"Affinity/n(H2,aq)",His,"Affinity/n(H2,aq)",His-,"Affinity/n(H2,aq)",Affinity (tot),,,,,,,,,
High C,5.9978,-5.7976,-0.4992,-3.55789,59.64707,-9.276054992,53.64927,-5.979857341,47.65147,-36.9521024,60.00581,-25.72519015,-6.827514044,,,,,,,,,
Low C,5.9978,-5.7976,-0.4992,-4.37309,62.09267,-11.49163903,56.09487,-8.195441382,50.09707,-39.16768645,67.34261,-32.37194227,-9.044652692,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Deep rocks,,,,,pka1,2.360,pka2,7.5523,pka3,7.886,,,,,,,,,,,
,pH,"H2,aq","CO2,aq",,His 2+,"Affinity/n(H2,aq)",His+,"Affinity/n(H2,aq)",His,"Affinity/n(H2,aq)",His-,"Affinity/n(H2,aq)",Affinity (tot),,,,,,,,,
High C,8.5058,-2.2617,-3.0881,-5.83712,44.15116,4.762418552,35.64536,10.33073134,27.13956,-18.36939859,35.12788,-3.187103511,-5.778529456,,,,,,,,,
Low C,8.5058,-2.2617,-3.0881,-6.65232,46.59676,2.546834511,38.09096,8.115147298,29.58516,-20.58498263,42.46468,-9.833855634,-11.49229708,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shallow rock,Activity (pH = 8.5) High and High,,,,His 2+,,,His+,,,His,,,His-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shallow rock,Activity (pH = 8.5) Low C Low H,,,,His 2+,,,His+,,,His,,,His-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shallow rock,Activity (pH = 11) High C High H,,,,His 2+,,,His+,,,His,,,His-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shallow rock,Activity (pH = 11) Low C Low H,,,,His 2+,,,His+,,,His,,,His-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,-6,3.138025102,,,,3.138025102,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Deep rock,Activity (pH = 8.5) High C High H,,,,His 2+,,,His+,,,His,,,His-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,,,,,
